Player,Pos,Squad,IsolationForest_Outlier,LOF_Outlier,Both_Methods_Outlier,LOF_Score
Aaron Cresswell,DF,West Ham,False,False,False,1.207112905690521
Aaron Ramsdale,GK,Southampton,False,False,False,1.1524737663630795
Aaron Wan-Bissaka,DF,West Ham,True,False,False,1.0880771957797086
Abdoulaye Doucouré,MF,Everton,False,False,False,1.0945462347097024
Abdukodir Khusanov,DF,Manchester City,False,False,False,1.1600546613356053
Abdul Fatawu Issahaku,FW,Leicester City,False,False,False,1.4322372408326296
Adam Armstrong,FW,Southampton,False,False,False,1.3942919031949559
Adam Lallana,MF,Southampton,False,False,False,1.2547595637841586
Adam Smith,DF,Bournemouth,False,False,False,1.144929084116871
Adam Webster,DF,Brighton,False,False,False,1.1245647075878318
Adam Wharton,MF,Crystal Palace,False,False,False,1.2718577994758777
Adama Traoré,FW,Fulham,False,False,False,1.3285219405048536
Albert Grønbaek,FW,Southampton,False,False,False,0.9708517797833215
Alejandro Garnacho,MF,Manchester Utd,False,False,False,1.1448689498479994
Alex Iwobi,FW,Fulham,True,False,False,1.304373668532414
Alex McCarthy,GK,Southampton,False,True,False,1.8419797957582702
Alex Palmer,GK,Ipswich Town,False,True,False,1.8256214511618052
Alex Scott,MF,Bournemouth,False,False,False,1.0601090816140903
Alexander Isak,FW,Newcastle Utd,True,False,False,1.3465849777269268
Alexis Mac Allister,MF,Liverpool,True,False,False,1.3934252654223966
Alfie Dorrington,DF,Tottenham,False,False,False,0.9919998394275936
Alfie Pond,DF,Wolves,False,False,False,1.1861215495358786
Ali Al Hamadi,FW,Ipswich Town,False,False,False,1.0190576734291803
Alisson,GK,Liverpool,False,False,False,1.2049808836429194
Alphonse Areola,GK,West Ham,False,False,False,1.1424558032821843
Altay Bayındır,GK,Manchester Utd,False,True,False,1.815876122575795
Amad Diallo,MF,Manchester Utd,False,False,False,1.1270613332347699
Amadou Onana,MF,Aston Villa,False,False,False,1.0310110489181648
Andreas Pereira,MF,Fulham,True,False,False,1.5702299832647362
Andrew Robertson,DF,Liverpool,True,False,False,1.2445994598409575
André,MF,Wolves,False,False,False,1.179022700291252
André Onana,GK,Manchester Utd,False,False,False,1.1299139802720137
Andrés García,DF,Aston Villa,False,False,False,1.1443035293068908
Andy Irving,MF,West Ham,False,False,False,1.0364185397253605
Anthony Elanga,FW,Nott'ham Forest,True,False,False,1.4741993103882067
Anthony Gordon,FW,Newcastle Utd,False,False,False,1.1266604333856678
Antoine Semenyo,FW,Bournemouth,True,False,False,1.2261779735391185
Antonee Robinson,DF,Fulham,True,False,False,1.4516255900531
Antony,DF,Manchester Utd,False,False,False,1.3018394333415855
Antonín Kinský,GK,Tottenham,False,False,False,1.5578136451008513
Archie Gray,DF,Tottenham,False,False,False,1.109042214421136
Arijanet Muric,GK,Ipswich Town,False,False,False,1.4524704238533341
Armando Broja,FW,Everton,False,False,False,0.977219914609275
Armel Bella Kotchap,DF,Southampton,False,False,False,1.572572468453155
Asher Agbinone,MF,Crystal Palace,False,True,False,1.945118661144828
Ashley Young,DF,Everton,False,False,False,1.1764590655449285
Axel Disasi,DF,Aston Villa,False,False,False,1.0784978666804284
Axel Disasi,DF,Chelsea,False,False,False,1.1595766844406188
Axel Tuanzebe,DF,Ipswich Town,False,False,False,1.1061121589431802
Ayden Heaven,DF,Manchester Utd,False,False,False,0.9714687321771158
Bart Verbruggen,GK,Brighton,False,False,False,1.1376601841438065
Ben Brereton,FW,Southampton,False,False,False,1.084219292433249
Ben Chilwell,DF,Crystal Palace,False,True,False,1.6836291965477481
Ben Davies,DF,Tottenham,False,False,False,1.07040047413156
Ben Godfrey,DF,Ipswich Town,False,True,False,1.7485305098782642
Ben Johnson,DF,Ipswich Town,False,False,False,1.343135227063841
Ben Mee,DF,Brentford,False,True,False,1.6296992201408098
Ben White,DF,Arsenal,False,False,False,1.0761078209031107
Ben Winterburn,MF,Bournemouth,False,False,False,0.9943946769066512
Benoît Badiashile,DF,Chelsea,False,True,False,1.6609567075334684
Bernardo Silva,MF,Manchester City,False,False,False,1.129954553868454
Bernd Leno,GK,Fulham,False,False,False,1.1505811263794912
Beto,FW,Everton,False,False,False,1.221232680716328
Bilal El Khannouss,MF,Leicester City,False,False,False,1.1480864763741394
Billy Gilmour,MF,Brighton,False,False,False,1.0249963617671525
Bobby De Cordova-Reid,FW,Leicester City,False,False,False,1.3256960472429662
Boubacar Kamara,MF,Aston Villa,False,False,False,1.037201639519118
Boubacar Traoré,MF,Wolves,False,False,False,1.196778530342923
Boubakary Soumaré,MF,Leicester City,False,False,False,1.0393425650025412
Brajan Gruda,MF,Brighton,False,False,False,1.4650294361486818
Brandon Austin,GK,Tottenham,False,False,False,1.3510521128931254
Brennan Johnson,FW,Tottenham,False,False,False,1.0766900784630127
Bruno Fernandes,MF,Manchester Utd,True,False,False,1.5917889335500206
Bruno Guimarães,MF,Newcastle Utd,True,False,False,1.2126900900204836
Bryan Mbeumo,FW,Brentford,True,True,True,1.7060003917713025
Bukayo Saka,FW,Arsenal,True,False,False,1.3550067489395121
Caleb Kporha,DF,Crystal Palace,False,False,False,1.2488402035202715
Caleb Okoli,DF,Leicester City,False,False,False,1.201987269402588
Callum Hudson-Odoi,FW,Nott'ham Forest,False,False,False,1.1197057018082346
Callum Wilson,FW,Newcastle Utd,False,False,False,0.9709122304686038
Calvin Bassey,DF,Fulham,False,False,False,1.0629465282340842
Cameron Archer,FW,Southampton,False,False,False,1.3617745648739379
Cameron Burgess,DF,Ipswich Town,False,False,False,1.1134004012752599
Caoimhín Kelleher,GK,Liverpool,False,False,False,1.538831721239124
Carlos Alcaraz,FW,Everton,False,False,False,1.2050023226033726
Carlos Alcaraz,MF,Southampton,False,True,False,1.8143973245415226
Carlos Baleba,MF,Brighton,False,False,False,1.1440259805804376
Carlos Forbs,MF,Wolves,False,False,False,0.9759538534911124
Carlos Soler,MF,West Ham,False,False,False,1.15702475211894
Carlos Vinícius,MF,Fulham,False,False,False,1.1700862113651804
Casemiro,MF,Manchester Utd,False,False,False,1.150058003595173
Chadi Riad,DF,Crystal Palace,False,True,False,1.7960345040469679
