support,itemsets
0.5261324041811847,frozenset({'shooting_Standard_Gls_category=Low'})
0.524390243902439,frozenset({'passing_Ast_category=Low'})
0.3641114982578397,frozenset({'Pos=DF'})
0.343205574912892,frozenset({'shooting_Expected_xG_category=Low'})
0.3344947735191638,frozenset({'shooting_Standard_SoT%_category=Low'})
0.3118466898954704,frozenset({'passing_xAG_category=Medium'})
0.37456445993031356,frozenset({'passing_xAG_category=Low'})
0.3344947735191638,frozenset({'shooting_Standard_SoT%_category=Medium'})
0.32926829268292684,frozenset({'shooting_Expected_xG_category=Medium'})
0.3153310104529617,frozenset({'shooting_Standard_Gls_category=High'})
0.313588850174216,frozenset({'passing_xAG_category=High'})
0.30139372822299654,frozenset({'passing_Ast_category=High'})
0.32752613240418116,frozenset({'shooting_Expected_xG_category=High'})
0.29442508710801396,frozenset({'Pos=MF'})
0.3310104529616725,frozenset({'shooting_Standard_SoT%_category=High'})
0.26480836236933797,frozenset({'Pos=FW'})
0.17421602787456447,frozenset({'passing_Ast_category=Medium'})
0.15853658536585366,frozenset({'shooting_Standard_Gls_category=Medium'})
0.397212543554007,"frozenset({'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low'})"
0.23519163763066203,"frozenset({'shooting_Standard_Gls_category=Low', 'Pos=DF'})"
0.2229965156794425,"frozenset({'passing_Ast_category=Low', 'Pos=DF'})"
0.15505226480836237,"frozenset({'passing_xAG_category=Low', 'Pos=DF'})"
0.16898954703832753,"frozenset({'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low', 'Pos=DF'})"
0.15156794425087108,"frozenset({'passing_Ast_category=Low', 'passing_xAG_category=Low', 'Pos=DF'})"
0.3344947735191638,"frozenset({'shooting_Standard_Gls_category=Low', 'shooting_Expected_xG_category=Low'})"
0.30139372822299654,"frozenset({'passing_Ast_category=Low', 'shooting_Expected_xG_category=Low'})"
0.2787456445993031,"frozenset({'passing_xAG_category=Low', 'shooting_Expected_xG_category=Low'})"
0.29442508710801396,"frozenset({'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low', 'shooting_Expected_xG_category=Low'})"
0.2770034843205575,"frozenset({'shooting_Standard_Gls_category=Low', 'passing_xAG_category=Low', 'shooting_Expected_xG_category=Low'})"
0.2700348432055749,"frozenset({'passing_Ast_category=Low', 'passing_xAG_category=Low', 'shooting_Expected_xG_category=Low'})"
0.2682926829268293,"frozenset({'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low', 'passing_xAG_category=Low', 'shooting_Expected_xG_category=Low'})"
0.32578397212543553,"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Standard_Gls_category=Low'})"
0.28222996515679444,"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_Ast_category=Low'})"
0.27526132404181186,"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Expected_xG_category=Low'})"
0.25609756097560976,"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_xAG_category=Low'})"
0.2787456445993031,"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low'})"
0.27526132404181186,"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Standard_Gls_category=Low', 'shooting_Expected_xG_category=Low'})"
0.24912891986062718,"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_Ast_category=Low', 'shooting_Expected_xG_category=Low'})"
0.24912891986062718,"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low', 'shooting_Expected_xG_category=Low'})"
0.25435540069686413,"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Standard_Gls_category=Low', 'passing_xAG_category=Low'})"
0.24912891986062718,"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_Ast_category=Low', 'passing_xAG_category=Low'})"
0.23519163763066203,"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_xAG_category=Low', 'shooting_Expected_xG_category=Low'})"
0.24738675958188153,"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low', 'passing_xAG_category=Low'})"
0.23519163763066203,"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Standard_Gls_category=Low', 'passing_xAG_category=Low', 'shooting_Expected_xG_category=Low'})"
0.22996515679442509,"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_Ast_category=Low', 'passing_xAG_category=Low', 'shooting_Expected_xG_category=Low'})"
0.22996515679442509,"frozenset({'passing_xAG_category=Low', 'shooting_Standard_SoT%_category=Low', 'passing_Ast_category=Low', 'shooting_Expected_xG_category=Low', 'shooting_Standard_Gls_category=Low'})"
0.15853658536585366,"frozenset({'passing_xAG_category=Medium', 'shooting_Expected_xG_category=Medium'})"
0.3623693379790941,"frozenset({'passing_Ast_category=Low', 'passing_xAG_category=Low'})"
0.3310104529616725,"frozenset({'shooting_Standard_Gls_category=Low', 'passing_xAG_category=Low'})"
0.3205574912891986,"frozenset({'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low', 'passing_xAG_category=Low'})"
0.1759581881533101,"frozenset({'shooting_Expected_xG_category=Medium', 'Pos=DF'})"
0.16898954703832753,"frozenset({'shooting_Expected_xG_category=Medium', 'shooting_Standard_SoT%_category=Medium'})"
0.1759581881533101,"frozenset({'shooting_Standard_Gls_category=Low', 'shooting_Expected_xG_category=Medium'})"
0.1672473867595819,"frozenset({'passing_Ast_category=Low', 'shooting_Expected_xG_category=Medium'})"
0.2682926829268293,"frozenset({'shooting_Standard_Gls_category=High', 'shooting_Expected_xG_category=High'})"
0.18989547038327526,"frozenset({'shooting_Standard_Gls_category=High', 'shooting_Standard_SoT%_category=High'})"
0.16202090592334495,"frozenset({'shooting_Standard_Gls_category=High', 'shooting_Standard_SoT%_category=High', 'shooting_Expected_xG_category=High'})"
0.20905923344947736,"frozenset({'passing_xAG_category=High', 'shooting_Standard_Gls_category=High'})"
0.15505226480836237,"frozenset({'passing_xAG_category=High', 'shooting_Standard_SoT%_category=Medium'})"
0.22473867595818817,"frozenset({'passing_xAG_category=High', 'shooting_Expected_xG_category=High'})"
0.19686411149825783,"frozenset({'passing_xAG_category=High', 'shooting_Standard_Gls_category=High', 'shooting_Expected_xG_category=High'})"
0.2421602787456446,"frozenset({'passing_xAG_category=High', 'passing_Ast_category=High'})"
0.19686411149825783,"frozenset({'passing_Ast_category=High', 'shooting_Standard_Gls_category=High'})"
0.20557491289198607,"frozenset({'passing_Ast_category=High', 'shooting_Expected_xG_category=High'})"
0.17421602787456447,"frozenset({'passing_xAG_category=High', 'passing_Ast_category=High', 'shooting_Standard_Gls_category=High'})"
0.18118466898954705,"frozenset({'passing_Ast_category=High', 'shooting_Standard_Gls_category=High', 'shooting_Expected_xG_category=High'})"
0.16376306620209058,"frozenset({'passing_xAG_category=High', 'passing_Ast_category=High', 'shooting_Standard_Gls_category=High', 'shooting_Expected_xG_category=High'})"
0.18118466898954705,"frozenset({'passing_xAG_category=High', 'passing_Ast_category=High', 'shooting_Expected_xG_category=High'})"
0.18118466898954705,"frozenset({'shooting_Standard_SoT%_category=High', 'shooting_Expected_xG_category=High'})"
0.1602787456445993,"frozenset({'Pos=FW', 'shooting_Expected_xG_category=High'})"
