antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Expected_xG_category=Low'})",frozenset({'shooting_Standard_Gls_category=Low'}),0.27526132404181186,0.5261324041811847,0.27526132404181186,1.0,1.900662251655629,1.0,0.13043742184559726,inf,0.6538461538461537,0.5231788079470198,1.0,0.7615894039735099
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_Ast_category=Low', 'shooting_Expected_xG_category=Low'})",frozenset({'shooting_Standard_Gls_category=Low'}),0.24912891986062718,0.5261324041811847,0.24912891986062718,1.0,1.900662251655629,1.0,0.11805412230329371,inf,0.6310904872389791,0.4735099337748345,1.0,0.7367549668874173
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_xAG_category=Low', 'shooting_Expected_xG_category=Low'})",frozenset({'shooting_Standard_Gls_category=Low'}),0.23519163763066203,0.5261324041811847,0.23519163763066203,1.0,1.900662251655629,1.0,0.11144969588073184,inf,0.6195899772209567,0.44701986754966877,1.0,0.7235099337748344
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_Ast_category=Low', 'passing_xAG_category=Low', 'shooting_Expected_xG_category=Low'})",frozenset({'shooting_Standard_Gls_category=Low'}),0.22996515679442509,0.5261324041811847,0.22996515679442509,1.0,1.900662251655629,1.0,0.10897303597227112,inf,0.6153846153846154,0.4370860927152318,1.0,0.7185430463576159
"frozenset({'passing_xAG_category=Low', 'shooting_Expected_xG_category=Low'})",frozenset({'shooting_Standard_Gls_category=Low'}),0.2787456445993031,0.5261324041811847,0.2770034843205575,0.99375,1.8887831125827814,1.0,0.1303463681724921,75.81881533101073,0.6524169780937624,0.5247524752475248,0.9868106617647059,0.7601200331125828
"frozenset({'passing_Ast_category=Low', 'passing_xAG_category=Low', 'shooting_Expected_xG_category=Low'})",frozenset({'shooting_Standard_Gls_category=Low'}),0.2700348432055749,0.5261324041811847,0.2682926829268293,0.9935483870967743,1.8883999145481736,1.0,0.1262186016583909,73.44947735191745,0.6444843938877352,0.5082508250825083,0.9863851992409869,0.7517410809656058
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_xAG_category=Low'})",frozenset({'shooting_Standard_Gls_category=Low'}),0.25609756097560976,0.5261324041811847,0.25435540069686413,0.9931972789115647,1.8877325764742985,1.0,0.11961417523582904,69.65853658536692,0.6321580956658434,0.4818481848184819,0.9856442577030815,0.7383204937604182
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_Ast_category=Low', 'passing_xAG_category=Low'})",frozenset({'shooting_Standard_Gls_category=Low'}),0.24912891986062718,0.5261324041811847,0.24738675958188153,0.9930069930069929,1.8873709072384568,1.0,0.11631196202454805,67.76306620208966,0.6261560079735956,0.46864686468646866,0.9852426984779924,0.7316028342518408
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_Ast_category=Low'})",frozenset({'shooting_Standard_Gls_category=Low'}),0.28222996515679444,0.5261324041811847,0.2787456445993031,0.9876543209876543,1.8771972855858063,1.0,0.13025531449938688,38.383275261323874,0.6510315533980581,0.5263157894736841,0.973946986201888,0.7587278227454828
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_xAG_category=Low', 'shooting_Expected_xG_category=Low'})","frozenset({'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low'})",0.23519163763066203,0.397212543554007,0.22996515679442509,0.9777777777777777,2.4615984405458087,1.0,0.13654408818851752,27.125435540069645,0.776351211430938,0.5714285714285714,0.9631342324983945,0.7783625730994153
