Player,Pos,Squad,Cluster_KMeans,Cluster_Hierarchical
Aaron Cresswell,DF,West Ham,0,0
Aaron Ramsdale,GK,Southampton,0,3
Aaron Wan-Bissaka,DF,West Ham,1,2
Abdoulaye Doucouré,MF,Everton,1,2
Abdukodir Khusanov,DF,Manchester City,0,0
Abdul Fatawu Issahaku,FW,Leicester City,0,0
Adam Armstrong,FW,Southampton,0,0
Adam Lallana,MF,Southampton,0,0
Adam Smith,DF,Bournemouth,0,0
Adam Webster,DF,Brighton,0,0
Adam Wharton,MF,Crystal Palace,1,0
Adama Traoré,FW,Fulham,1,4
Albert Grønbaek,FW,Southampton,0,0
Alejandro Garnacho,MF,Manchester Utd,1,4
Alex Iwobi,FW,Fulham,1,4
Alex McCarthy,GK,Southampton,0,0
Alex Palmer,GK,Ipswich Town,0,0
Alex Scott,MF,Bournemouth,0,0
Alexander Isak,FW,Newcastle Utd,1,4
Alexis Mac Allister,MF,Liverpool,1,1
Alfie Dorrington,DF,Tottenham,0,0
Alfie Pond,DF,Wolves,0,0
Ali Al Hamadi,FW,Ipswich Town,0,0
Alisson,GK,Liverpool,0,3
Alphonse Areola,GK,West Ham,0,3
Altay Bayındır,GK,Manchester Utd,0,0
Amad Diallo,MF,Manchester Utd,1,4
Amadou Onana,MF,Aston Villa,1,2
Andreas Pereira,MF,Fulham,1,1
Andrew Robertson,DF,Liverpool,1,1
André,MF,Wolves,1,2
André Onana,GK,Manchester Utd,0,3
Andrés García,DF,Aston Villa,0,0
Andy Irving,MF,West Ham,0,0
Anthony Elanga,FW,Nott'ham Forest,1,1
Anthony Gordon,FW,Newcastle Utd,1,4
Antoine Semenyo,FW,Bournemouth,1,4
Antonee Robinson,DF,Fulham,1,2
Antony,DF,Manchester Utd,0,0
Antonín Kinský,GK,Tottenham,0,0
Archie Gray,DF,Tottenham,0,2
Arijanet Muric,GK,Ipswich Town,0,0
Armando Broja,FW,Everton,0,0
Armel Bella Kotchap,DF,Southampton,0,0
Asher Agbinone,MF,Crystal Palace,0,0
Ashley Young,DF,Everton,1,2
Axel Disasi,DF,Aston Villa,0,0
Axel Disasi,DF,Chelsea,0,0
Axel Tuanzebe,DF,Ipswich Town,0,0
Ayden Heaven,DF,Manchester Utd,0,0
Bart Verbruggen,GK,Brighton,0,3
Ben Brereton,FW,Southampton,0,0
Ben Chilwell,DF,Crystal Palace,0,0
Ben Davies,DF,Tottenham,0,2
Ben Godfrey,DF,Ipswich Town,0,0
Ben Johnson,DF,Ipswich Town,0,0
Ben Mee,DF,Brentford,0,0
Ben White,DF,Arsenal,0,0
Ben Winterburn,MF,Bournemouth,0,0
Benoît Badiashile,DF,Chelsea,0,0
Bernardo Silva,MF,Manchester City,1,2
Bernd Leno,GK,Fulham,0,3
Beto,FW,Everton,0,0
Bilal El Khannouss,MF,Leicester City,1,2
Billy Gilmour,MF,Brighton,0,0
Bobby De Cordova-Reid,FW,Leicester City,0,0
Boubacar Kamara,MF,Aston Villa,0,2
Boubacar Traoré,MF,Wolves,0,0
Boubakary Soumaré,MF,Leicester City,1,2
Brajan Gruda,MF,Brighton,0,0
Brandon Austin,GK,Tottenham,0,0
Brennan Johnson,FW,Tottenham,1,4
Bruno Fernandes,MF,Manchester Utd,1,1
Bruno Guimarães,MF,Newcastle Utd,1,1
Bryan Mbeumo,FW,Brentford,1,1
Bukayo Saka,FW,Arsenal,1,1
Caleb Kporha,DF,Crystal Palace,0,0
Caleb Okoli,DF,Leicester City,0,0
Callum Hudson-Odoi,FW,Nott'ham Forest,1,4
Callum Wilson,FW,Newcastle Utd,0,0
Calvin Bassey,DF,Fulham,1,2
Cameron Archer,FW,Southampton,0,0
Cameron Burgess,DF,Ipswich Town,0,0
Caoimhín Kelleher,GK,Liverpool,0,0
Carlos Alcaraz,FW,Everton,0,0
Carlos Alcaraz,MF,Southampton,0,0
Carlos Baleba,MF,Brighton,1,2
Carlos Forbs,MF,Wolves,0,0
Carlos Soler,MF,West Ham,0,0
Carlos Vinícius,MF,Fulham,0,0
Casemiro,MF,Manchester Utd,1,2
Chadi Riad,DF,Crystal Palace,0,0
Charlie Taylor,DF,Southampton,0,0
Cheick Doucouré,MF,Crystal Palace,0,0
Chidozie Obi-Martin,FW,Manchester Utd,0,0
Chiedozie Ogbene,FW,Ipswich Town,0,0
Chiquinho,MF,Wolves,0,0
Chris Richards,DF,Crystal Palace,0,2
Chris Wood,FW,Nott'ham Forest,1,4
Christian Eriksen,MF,Manchester Utd,1,1
Christian Nørgaard,MF,Brentford,1,2
Christian Walton,GK,Ipswich Town,0,0
Christopher Nkunku,FW,Chelsea,0,0
Claudio Echeverri,FW,Manchester City,0,0
Cody Gakpo,FW,Liverpool,1,4
Cole Palmer,MF,Chelsea,1,1
Conor Bradley,DF,Liverpool,0,0
Conor Chaplin,MF,Ipswich Town,0,0
Conor Coady,DF,Leicester City,0,0
Conor Townsend,DF,Ipswich Town,0,0
Craig Dawson,DF,Wolves,0,0
Cristian Romero,DF,Tottenham,1,2
Crysencio Summerville,FW,West Ham,0,0
Curtis Jones,MF,Liverpool,1,2
Daichi Kamada,MF,Crystal Palace,1,0
Dan Burn,DF,Newcastle Utd,1,2
Dane Scarlett,FW,Tottenham,0,0
Dango Ouattara,FW,Bournemouth,1,4
Daniel Bentley,GK,Wolves,0,0
Daniel Jebbison,FW,Bournemouth,0,0
Daniel Muñoz,DF,Crystal Palace,1,2
Daniel Podence,MF,Wolves,0,0
Danilo,MF,Nott'ham Forest,0,0
Danny Ings,FW,West Ham,0,0
Danny Ward,GK,Leicester City,0,0
Danny Welbeck,FW,Brighton,1,4
Dara O'Shea,DF,Ipswich Town,1,2
Darwin Núñez,FW,Liverpool,0,0
David Brooks,FW,Bournemouth,0,0
David Raya,GK,Arsenal,0,3
Dean Henderson,GK,Crystal Palace,0,3
Dean Huijsen,DF,Bournemouth,1,2
Declan Rice,MF,Arsenal,1,1
Dejan Kulusevski,MF,Tottenham,1,4
Destiny Udogie,DF,Tottenham,1,2
Diego Carlos,DF,Aston Villa,0,0
Diego Gómez,MF,Brighton,0,0
Diogo Dalot,DF,Manchester Utd,1,2
Diogo Jota,FW,Liverpool,0,0
Divin Mubama,FW,Manchester City,0,0
Djed Spence,DF,Tottenham,1,2
Dominic Calvert-Lewin,FW,Everton,0,0
Dominic Solanke,FW,Tottenham,1,4
Dominik Szoboszlai,MF,Liverpool,1,1
Donyell Malen,FW,Aston Villa,0,0
Dwight McNeil,MF,Everton,1,1
Eberechi Eze,MF,Crystal Palace,1,1
Eddie Nketiah,FW,Crystal Palace,0,0
Ederson,GK,Manchester City,0,3
Edmond-Paris Maghoma,MF,Brentford,0,0
Edson Álvarez,MF,West Ham,1,2
Eiran Cashin,DF,Brighton,0,0
Elliot Anderson,MF,Nott'ham Forest,1,1
Emerson Palmieri,DF,West Ham,1,2
Emi Buendía,MF,Aston Villa,0,0
Emil Krafth,DF,Newcastle Utd,0,0
Emile Smith Rowe,MF,Fulham,1,2
Emiliano Martínez,GK,Aston Villa,0,3
Emmanuel Agbadou,DF,Wolves,0,2
Enes Ünal,FW,Bournemouth,0,0
Enzo Fernández,MF,Chelsea,1,1
Eric da Silva Moreira,MF,Nott'ham Forest,0,0
Erling Haaland,FW,Manchester City,1,4
Ethan Nwaneri,FW,Arsenal,0,0
Ethan Pinnock,DF,Brentford,0,2
Evan Ferguson,FW,Brighton,0,0
Evan Ferguson,FW,West Ham,0,0
Evanilson,FW,Bournemouth,1,4
Ezri Konsa,DF,Aston Villa,1,2
Fabian Schär,DF,Newcastle Utd,1,2
Fabio Carvalho,FW,Brentford,0,0
Facundo Buonanotte,FW,Leicester City,1,0
Federico Chiesa,FW,Liverpool,0,0
Ferdi Kadioglu,DF,Brighton,0,0
Filip Jørgensen,GK,Chelsea,0,0
Flynn Downes,MF,Southampton,1,2
Frank Onyeka,MF,Brentford,0,0
Fraser Forster,GK,Tottenham,0,0
Gabriel Jesus,FW,Arsenal,0,0
Gabriel Magalhães,DF,Arsenal,1,2
Gabriel Martinelli,FW,Arsenal,1,4
George Edmundson,DF,Ipswich Town,0,0
George Hirst,FW,Ipswich Town,0,0
Georginio Rutter,MF,Brighton,1,4
