Player,Pos,Squad,Similarity,shooting_Standard_Gls,passing_Ast
Jean-Philippe Mateta,FW,Crystal Palace,0.8837266134784277,14,2
Alexander Isak,FW,Newcastle Utd,0.8591390589688784,23,6
Ollie Watkins,FW,Aston Villa,0.8270021144042974,16,8
Raúl Jiménez,FW,Fulham,0.8161717608197814,12,3
Yoane Wissa,FW,Brentford,0.7893168202740951,19,4
Kai Havertz,FW,Arsenal,0.769253858622606,9,3
Dominic Solanke,FW,Tottenham,0.7688862876689555,9,3
Jamie Vardy,FW,Leicester City,0.7540145698730272,9,4
Nicolas Jackson,FW,Chelsea,0.7492985055886873,10,5
Mohamed Salah,FW,Liverpool,0.7433208561533752,29,18
