Player,Pos,Squad,Similarity,shooting_Standard_Gls,passing_Ast
Jayden Meghoma,DF,Brentford,0.9911905401647743,0,0
Jayden Danns,MF,Liverpool,0.9911603659552225,0,0
Mason Holgate,FW,Everton,0.9911431484849227,0,0
Jeremy Sarmiento,MF,Brighton,0.9911142452238982,0,0
Will Lankshear,FW,Tottenham,0.9911114462905407,0,0
Mathis Amougou,MF,Chelsea,0.9910544510907222,0,0
Claudio Echeverri,FW,Manchester City,0.9910401814130628,0,0
Alfie Dorrington,DF,Tottenham,0.9910145843032167,0,0
Jake Evans,FW,Leicester City,0.990994713809884,0,0
Ronnie Edwards,DF,Southampton,0.9909686861971739,0,0
